Coleção;Identificação;Grupo;Série;Subsérie;Espécie/Tipologia;Descrição;Título;Título atribuído;Data;Data / Periodo;;Autoria;Idioma;Quantidade;Local de produção;Veículo de publicação;Local de publicação;Tipo de publicação;Gênero ;Forma;Formato;Escritura;Suporte;Dimensão;Estado de Conservação;Observações;Documentos relacionados;Número da caixa;;Nome da caixa;Número da pasta;Nome da pasta;NUMERO SERIE
1;BRFM_AM_01_013;1;3;;96;Conflito entre árabes e judeus.;Judeus e árabes:  uma batalha à margem do Mediterrâneo;NULL;1964-01-12;;;Frederico Morais;1;2 páginas;Belo Horizonte, MG;2;;;;Original;1;Impresso;1;40,00 x 50,00 cm;Acidificado / Amarelado, Manchado, Dobrado, Oxidado;;;;;;12;7;13
1;BRFM_AM_01_014;1;3;;96;Insurreição armada em Angola.;"Revolta em Angola obrigou Portugal a manter exército fixo contra ""terra arrasada""";NULL;1964-05-31;;;Frederico Morais;1;1 página;;4;;;;Original;1;Impresso;1;38,00 x 59,00 cm;Acidificado / Amarelado, Dobrado, Oxidado;;;;;;12;7;14
1;BRFM_AM_01_015;1;3;;96;Questão religiosa na URSS.;"Problema de religião e anti-religião no mundo socialista; um povo que lê";NULL;1964-04-05;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;;Original;1;Impresso;1;40,00 x 50,00 cm;Acidificado / Amarelado, Dobrado, Oxidado;;;;;;12;7;15
1;BRFM_AM_01_016;1;3;;96;URSS.;Introdução ao mundo soviético: o espírito da co-existência;NULL;1964-03-29;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;;Original;1;Impresso;1;40,00 x 50,00 cm;Acidificado / Amarelado, Dobrado, Oxidado;;;;;;12;7;16
1;BRFM_AM_01_017;1;3;;96;Argélia.;Quatro dias em Argélia, miséria e revolução;NULL;1964-01-05;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;;Original;1;Impresso;1;44,00 x 52,00 cm;Acidificado / Amarelado, Manchado, Dobrado, Oxidado;;;;;;12;7;17
1;BRFM_AM_01_018;1;3;;96;Egito.;Egito, essência e existência de uma cultura piramidal;NULL;1994-02-23;;;Frederico Morais;1;2 páginas;Belo Horizonte, MG;2;;;;Original;1;Impresso;1;"40,00 x 50,00 cm; 21,00 x 27,00 cm";Acidificado / Amarelado, Dobrado, Oxidado;;;;;;12;7;18
1;BRFM_AM_01_019;1;3;;96;Angola.;Angola: a luta fratricida;NULL;;;;Frederico Morais;1;3 páginas;;;;;;Original;1;Impresso;3;25,00 x 34,00 cm;Acidificado / Amarelado, Dobrado, Oxidado;;;;;;12;7;19
1;BRFM_DI_01_001;4;8;;14;Solicitação a Averini de uma colocação no mercado de trabalho africano.;;NULL;1964-09-28;;;Frederico Morais;1;2 páginas;Belo Horizonte, MG;;;;1;Original;1;Datilografado;6;21,00 x 31,50 cm;Acidificado / Amarelado, Rasgado;;;;;;12;7;1
1;BRFM_DI_01_002;4;8;;14;Ao Ministro Cheriff Belkacen do Ministere de l'Órientation Nationale - Alger - Argélia agradecendo a hospitalidade recebida e solicitando o envio de publicações para trabalho de divulgação.;;NULL;1964-04-20;;;Frederico Morais;2;1 página;Belo Horizonte, MG;;;;1;Original;1;Datilografado;6;21,00 x 31,50 cm;Acidificado / Amarelado, Oxidado;;;;;;12;7;2
1;BRFM_DI_01_003;4;8;;14;Ao Ministro da Cultura o Egito - Abdel Kader Hatem - informando a elaboração de textos sobre países árábes e que aguarda oportunidade de uma nova visita.;;NULL;1963-04-23;;;Frederico Morais;5;1 página;Belo Horizonte, MG;;;;1;Original;1;Datilografado;6;21,00 x 31,50 cm;Acidificado / Amarelado, Oxidado;;;;;;12;7;3
1;BRFM_DI_01_004;4;8;;14;Ao Department of the Greek Comunal Chamber do Chipre, informando a elaboração de matérias sobre o Chipre e solicitando uma nova oportunidade de visitar o país.;;NULL;1963-04-23;;;Frederico Morais;5;1 página;Belo Horizonte, MG;;;;1;Original;1;Datilografado;6;21,00 x 31,50 cm;Acidificado / Amarelado, Oxidado;;;;;;12;7;4
1;BRFM_DI_01_005;4;8;;14;Ao Presidente do Conselho de Ministros do Líbano - Rachid Karamé - informando a elaboração de matérias sobre o Líbano e solicitando uma nova oportunidade de visitar o país.;;NULL;1963-04-23;;;Frederico Morais;2;1 página;Belo Horizonte, MG;;;;1;Original;1;Datilografado;6;21,00 x 31,50 cm;Acidificado / Amarelado, Oxidado;;;;;;12;7;5
1;BRFM_DI_01_006;4;8;;14;Ao Ministro Cheldi Klibi do Ministere para Assuntos Culturais - Tunis - Tunísia agradecendo a hospitalidade recebida e solicitando o envio de publicações para trabalho de divulgação e aguardando nova oportunidade para revisitar o país.;;NULL;1964-04-20;;;Frederico Morais;2;1 página;Belo Horizonte, MG;;;;1;Original;1;Datilografado;6;21,00 x 31,50 cm;Acidificado / Amarelado, Oxidado;;;;;;12;7;6
1;BRFM_AM_02_001;1;4;;96;"Obras intituladas ""obras de bar"", reunidas pelo cronista, poeta e desenhista Márcio Sampaio.";Desenhos na mesa de bar: a dura hora da verdade;NULL;1965-05-30;;;Fernando Gomes [Frederico Morais];1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;Frederico Morais assina esta matéria como Fernando Gomes;;;;;13;8;1
1;BRFM_AM_02_002;1;4;;96;História do escultor, entalhador e arquiteto Aleijadinho.;Vida e morte de Aleijadinho século e meio depois;NULL;1964-08-23;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;2
1;BRFM_AM_02_003;1;4;;96;Artista plástico Pietro Nerici.;Pietro Nereci: o segredo é saber parar;NULL;1964-12-06;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;"No título o nome do artista está como ""Nereci"" e na reportagem como ""Nerici"".";;;;;13;8;3
1;BRFM_AM_02_004;1;4;;96;Escritora Lúcia Machado de Almeida.;Lúcia, a infância passada a limpo (ou o restinho da criança);NULL;1963-07-07;;;Fernando Gomes [Frederico Morais];1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;13;8;4
1;BRFM_AM_02_005;1;4;;96;Dirigismo político no campo artístico.;Os Caminhos da Arte Dirigida;NULL;1963-06-23;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;5
1;BRFM_AM_02_006;1;4;;96;Artista plástico Ivan Serpa;Um corpo-a-corpo diário, travado com a pintura;NULL;1965-06-27;;;Fernando Gomes [Frederico Morais];1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;6
1;BRFM_AM_02_007;1;4;;96;Restauração do conjunto pictórico da Igreja Matriz de N. S. da Conceição.;Aventura e mistério numa igreja que ressurge do tempo;NULL;1965-02-07;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;7
1;BRFM_AM_02_008;1;4;;96;Restauração de obras arquitetônicas em Minas Gerais.;Reconquista de uma obra-de-arte;NULL;1965-01-31;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;8
1;BRFM_AM_02_009;1;4;;96;Restauração do conjunto pictórico da Igreja Matriz de N. S. da Conceição.;Sabará: Quatro anos de trabalho recuperam tesouro perdido;NULL;1965-01-24;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;9
1;BRFM_AM_02_010;1;4;;96;Arquitetura religiosa em Minas Gerais.;O mistério da religião em momentos de emoção arquitetônica;NULL;1964-08-16;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;10
1;BRFM_AM_02_011;1;4;;96;"Grupo de artistas ""PTYX"", cujos membros são Márcio Sampaio, Dirceu Xavier, Maria do Carmo VIlacqua Martins, Misabel de Abreu Machado, Myrian de Abreu Machado, João Paulo Gonçalves da Costa e Paulo Avarenga Junqueira.";PTYX, a voz submarina de gente nova;NULL;1965-01-10;;;Fernando Gomes [Frederico Morais];1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;11
1;BRFM_AM_02_012;1;4;;96;Compositor e regente Arthur Bosmans.;Um cronista marciano;NULL;1963-05-19;;;s/a;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;13;8;12
1;BRFM_AM_02_013;1;4;;96;Aniversário de 254 anos das cidades de Ouro Preto e Mariana.;As festas de duas cidades;NULL;1965-07-11;;;Fernando Gomes [Frederico Morais];1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;13;8;13
1;BRFM_AM_02_014;1;4;;96;Centro de Estudos Cinematográficos de Minas Gerais.;Vida, glória e morte do centro de estudos cinematográficos;NULL;1965-02-14;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 50,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;14
1;BRFM_AM_02_015;1;4;;96;"Grupo de poetas ""Vereda"", composto por Luiz Adolfo Pinheiro, Gilberto Mansur, Wanda Figueiredo e Lygia Neder.";O Grupo de Vereda: Uma solução formal;NULL;1965-01-03;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;13;8;15
1;BRFM_AM_02_016;1;4;;49;Diretora Haydée Bittencourt, do Teatro Universitário da UMG.;Haydée Bittencourt formando atores e educando o público;NULL;1963-08-18;;;Fernando Gomes [Frederico Morais];1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;13;8;16
1;BRFM_AM_02_017;1;4;;96;Teatro Experimental e seu diretor Marco Antônio Menezes.;Teatro Experimental leva ao espectador o que há de importante no mundo ;NULL;1965-05-02;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;13;8;17
1;BRFM_AM_02_018;1;4;;96;Poesia concretista brasileira.;Poesia brasileira: o que há de novo;NULL;1965-01-31;;;Fernando Gomes [Frederico Morais];1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;18
1;BRFM_AM_02_019;1;4;;96;Conceitos de teatro-objeto e objeto teatral.;Teatro é objeto de Faber;NULL;1964-11-01;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;19
1;BRFM_AM_02_020;1;4;;49;Ópera e entrevista com Carlos Eduardo Prates.;A música vive hoje um período agudo de crise;NULL;1964-03-22;;;Fernando Gomes [Frederico Morais];1;2 páginas;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;As duas páginas se complementam, pois a segunda página é a continuação da primeira;;;;;13;8;20
1;BRFM_AM_02_021;1;4;;96;Música brasileira.;Novo maestro do madrigal estuda música em computador eletrônico;NULL;;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;15,00 x 38,00 cm;Acidificado / Amarelado, Dobrado;O texto está incompleto.;;;;;13;8;21
1;BRFM_AM_02_022;1;4;;96;História dos cartões de natal.;O Natal e seu cartão;NULL;25/12/1965-26/12/1965;;;Fernando Gomes [Frederico Morais];1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado;;;;;;13;8;22
1;BRFM_AM_02_023;1;4;;96;Cultura Artística de Minas Gerais.;Uma cultura artística ameaçada de morte;NULL;1965-04-11;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;40,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;13;8;23
1;BRFM_AM_03_001;1;5;1;96;Biografia de Clemente de Faria.;Clemente de Faria: Pioneiro do Moderno Sistema Bancário;NULL;1963-04-21;;;Frederico Morais;1;2 páginas;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;As duas páginas se complementam, pois a segunda página é a continuação da primeira;;;;;14;9;1
1;BRFM_AM_03_002;1;5;1;96;Biografia de José Joaquim Queiroz Junior.;Queiroz Junior: Um homem e a história da siderurgia;NULL;1963-06-16;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;2
1;BRFM_AM_03_003;1;5;1;96;Biográfica de Mariano Procópio.;Mariano Procópio: Implantador da rodovia moderna;NULL;1963-07-21;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;3
1;BRFM_AM_03_004;1;5;1;96;Biografia de Américo Teixeira Guimarães.;Américo Teixeira Guimarães: Em Cachoeira dos macacos a grande revolução industrial;NULL;1963-05-05;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;4
1;BRFM_AM_03_005;1;5;1;96;Biografia de Bernardo Mascarenhas.;Bernardo Mascarenhas: A história de uma dinastia de tecelões;NULL;1963-04-07;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;5
1;BRFM_AM_03_006;1;5;1;96;Biografia de Benjamin Guimarães.;Benjamin Guimarães: História de um caráter;NULL;-/04/1963;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;6
1;BRFM_AM_03_007;1;5;1;96;Biografia de Vitório Marçola.;Vitório Marçola: Um pioneiro da indústria do conforto;NULL;1963-05-19;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;7
1;BRFM_AM_03_008;1;5;1;96;Biografia de Miguel Abras.;Miguel Abras: Do Líbano a Belo Horizonte um pioneiro do comércio atacadista;NULL;07/09/1963 - 08/09/1963;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;8
1;BRFM_AM_03_009;1;5;1;96;Biografia do Cel. Manoel Gonçalves de Souza Moreira.;Cel. Manoel Gonçalves de Souza Moreira: O fundador de uma dinastia de pioneiros;NULL;1963-09-01;;;Fernando Gomes [Frederico Morais];1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;9
1;BRFM_AM_03_010;1;5;1;96;Biografia de Estevão Pinto.;Estevão Pinto: Advogado, patriarca, modesto, um construtor da cidade;NULL;1963-08-25;;;Fernando Gomes [Frederico Morais];1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;10
1;BRFM_AM_03_011;1;5;1;96;Biografia de George Chalmers.;George Chalmers: Um inglês de vontade de ferro constrói uma mina de ouro;NULL;1963-08-18;;;Frederico Morais;1;2 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;11
1;BRFM_AM_03_012;1;5;1;96;Biografia de Francisco Batista de Oliveira.;Batista de Oliveira: um pioneiro de ideias e empreendimentos;NULL;1963-08-04;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;12
1;BRFM_AM_03_013;1;5;1;96;Biografia de Henrique Halfeld.;Henrique Halfeld: Planejador e construtor de Juiz de Fora;NULL;1963-07-28;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;13
1;BRFM_AM_03_014;1;5;1;96;Biografia de Luiza Rennó Moreira, conhecida como D. Sinhá Moreira .;D. Sinhá Moreira: pioneira no campo da assistência social;NULL;1963-07-14;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;14
1;BRFM_AM_03_015;1;5;1;96;Biografia de Artur Haas.;Artur Haas: Um pioneiro da venda a prestação revoluciona o comércio em Minas;NULL;1963-07-07;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;15
1;BRFM_AM_03_016;1;5;1;96;Biografia de Jorge L. Davis.;Jorge Davis: Nas mãos de um americano alegre, o seguro chega a Minas;NULL;1963-06-30;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;16
1;BRFM_AM_03_017;1;5;1;96;Biografia de Luiz Ensch.;Luz Ensch: Um mineirão que nasceu na Europa;NULL;1963-06-02;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;17
1;BRFM_AM_03_018;1;5;1;96;Biografia de Coronel Francisco Moreira.;Coronel Francisco Moreira: A trajetória de um plantador de café;NULL;1963-06-09;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;18
1;BRFM_AM_03_019;1;5;1;96;Biografia de Carvalho de Brito.;Carvalho de Brito: Banqueiro, Industrial e Educador: O retrato de uma época;NULL;1963-06-23;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;19
1;BRFM_AM_03_020;1;5;1;96;Biografia de Sebastião Augusto de Lima.;Sebastião Augusto de Lima: Uma vida de tradição mineira;NULL;1963-05-26;;;Frederico Morais;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;30,00 x 51,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;20
1;BRFM_AM_03_021;1;5;1;96;Biografia de Cristiano França Teixeira Magalhães.;Cristiano França Teixeira Guimarães: liderança moral fundada no descortino administrativo e na austeridade;NULL;1963-06-27;;;;1;1 página;Belo Horizonte, MG;2;;;1;Original;1;Impresso;1;60,00 x 44,00 cm;Acidificado / Amarelado, Dobrado, Manchado;;;;;;14;9;21
1;BRFM_AM_03_022;1;5;1;96;"Biografia de Bernardo Mascarenhas e a Previdência Social na empresa ""Cedro e Cachoeira"".";Previdência Social;NULL;;;;;1;1 página;Belo Horizonte, MG;;;;1;Original;1;Impresso;1;5,00 x 53,00 cm;Acidificado / Amarelado, Manchado;O documento possui a data de 07/04, mas não apresenta o ano.;;;;;14;9;22
1;BRFM_AM_03_023;1;5;1;96;Dona Sinhá Moreira.;Dona Sinhá Moreira;NULL;1963-07-16;;;Alberto Deodato;1;1 página;Belo Horizonte, MG;;;;1;Original;1;Impresso;1;10,00 x 16,00 cm;Acidificado / Amarelado, Manchado;;;;;;14;9;23
1;BRFM_AM_03_024;1;5;1;96;Inauguração do Museu Rodoviário de Paraibuna, onde homenageou-se Mariano Procópio.;Museu Rodoviário inaugurado em Paraibuna;NULL;;;;;1;1 página;Belo Horizonte, MG;;;;1;Original;1;Impresso;1;5,00 x 10,00 cm;Acidificado / Amarelado, Manchado;;;;;;14;9;24
1;BRFM_AM_03_025;1;5;1;96;"Congratulações da Associação dos Varejistas de Minas Gerais e da Associação Mineira da Farmácia ao jornal ""Estado de Minas"" a Frederico Morais pela série de matérias ""Eles construíram Minas"".";Congratulações de entidades por motivo de reportagens no suplemento dominical;NULL;;;;;1;1 página;Belo Horizonte, MG;;;;1;Original;1;Impresso;1;10,00 x 21,00 cm;Acidificado / Amarelado, Manchado;;;;;;14;9;25
