Coleção;codigo colecao;Identificação;Grupo;codigo grupo;Série;codigo serie;Subsérie;Espécie/Tipologia;Descrição;Título;Título atribuído;Data;Data / Periodo;;Autoria;Idioma;Quantidade;Local de produção;Veículo de publicação;Local de publicação;Tipo de publicação;Gênero ;Forma;Formato;Escritura;Suporte;Dimensão;Estado de Conservação;Observações;Documentos relacionados;Número da caixa;Nome da caixa;Número da pasta;Nome da pasta;NUMERO SERIE
1;1;BRFM_AM_05_059;1;1;7;7;;6;Artista plástico Abelardo Zaluar.;O Visual e o Tátil em Abelardo Zaluar;;;-/09/1979;;Frederico Morais;Português;4 páginas;Rio de Janeiro, RJ;113;Ano 2, Nº15, p.34-37;;Textual;Original;1;Impresso;3;23,00 x 29,5,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 11;;1;1;;;59
1;1;BRFM_AM_05_060;1;1;7;7;;6;Artista plástico Mathias Goeritz.;A Escultura Emocional de Mathias Goeritz;;;-/08/1979;;Frederico Morais;Português;5 páginas;Rio de Janeiro, RJ;113;Ano 3, Nº26, p.36-40;;Textual;Original;1;Impresso;3;23,00 x 29,5,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 12;;1;1;;;60
1;1;BRFM_AM_05_061;1;1;7;7;;49;Entrevista com o crítico de arte Frederico Morais.;A província vai voltar a falar;;1905-06-02;;;Newton Silva;Português;6 páginas;Belo Horizonte, MG;127;Ano 2, Nº3, p.13-18;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 13;;1;1;;;61
1;1;BRFM_AM_05_062;1;1;7;7;;6;"Exposição ""Madeira Matéria de Arte"" realizada no Museu de Arte Moderna do Rio de Janeiro - MAM/RJ.";Madeira Matéria de Arte;;;-/04/1984;;Frederico Morais;Português;2 páginas;São Paulo, SP;115;Ano 2, Nº2, p.16-17;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 14;;1;1;;;62
1;1;BRFM_AM_05_063;1;1;7;7;;6;Pintor Di Cavalcanti.;Di Cavalcanti, barroco, sensual, brasileiro;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº8, p.43;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 15;;1;1;;;63
1;1;BRFM_AM_05_064;1;1;7;7;;6;Artista plástico Franz Krajcberg.;Franz Krajcberg - A natureza recriada;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº7, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 16;;1;1;;;64
1;1;BRFM_AM_05_065;1;1;7;7;;6;"Movimento artístico do ""Simbolismo""";Simbolismo - Ascético e sensual;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº6, p.45;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 17;;1;1;;;65
1;1;BRFM_AM_05_066;1;1;7;7;;6;Artista plástico Ismael Nery.;Ismael Nery, um artista maldito;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº5, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 18;;1;1;;;66
1;1;BRFM_AM_05_067;1;1;7;7;;6;Artista plástico Flácio de Carvalho.;"Flávio de Carvalho, um ""Chacoalhador de Idéias""";;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº3, p.43;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 19;;1;1;;;67
1;1;BRFM_AM_05_068;1;1;7;7;;6;Artista plástico Alberto de Veiga Guignard.;Guignard: Nacionalismo lírico;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº2, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 20;;1;1;;;68
1;1;BRFM_AM_05_069;1;1;7;7;;6;Arte de vanguarda.;Da Pop à Transvanguarda: Volta à figura, ecletismo;;1905-06-10;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 14, Nº1, p.47;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 21;;1;1;;;69
1;1;BRFM_AM_05_070;1;1;7;7;;6;Arte Abstrata.;Arte Abstrata: Da Mancha à Geometria;;1905-06-09;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 13, Nº9, p.46;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 22;;1;1;;;70
1;1;BRFM_AM_05_071;1;1;7;7;;6;"Movimentos artísticos do ""Dadaísmo"" e ""Surrealismo"".";Dada e Surrealismo: O Ataque à Razão;;1905-06-09;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 13, Nº8, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 23;;1;1;;;71
1;1;BRFM_AM_05_072;1;1;7;7;;6;"Movimento artístico do ""Expressionismo"".";Expressionismo: Absurdo e Revolta;;1905-06-09;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 13, Nº6, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 24;;1;1;;;72
1;1;BRFM_AM_05_073;1;1;7;7;;6;"Movimento artístico do ""Impressionismo"".";Impressionismo, a Expressão do Fugaz;;1905-06-09;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 13, Nº5, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 25;;1;1;;;73
1;1;BRFM_AM_05_074;1;1;7;7;;6;"Movimento artístico do ""Realismo"" e pintor Gustave Courbet.";Realismo de Courbet: Verdade plástica;;1905-06-09;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 13, Nº4, p.43;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 26;;1;1;;;74
1;1;BRFM_AM_05_075;1;1;7;7;;6;"Movimento artístico do ""Romantismo"".";Romantismo - Os Bons Sentimentos;;1905-06-08;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 12, Nº6, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 27;;1;1;;;75
1;1;BRFM_AM_05_076;1;1;7;7;;6;"Movimento artístico do ""Rococó"".";Rococó - O Charme da Frivolidade;;1905-06-08;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 12, Nº5, p.42;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 28;;1;1;;;76
1;1;BRFM_AM_05_077;1;1;7;7;;6;"Movimento artístico do ""Barroco"".";Barroco Brasileiro - Transplantado no Litoral Original em Minas Gerais;;1905-06-08;;;Frederico Morais;Português;1 página;São Paulo, SP;123;Ano 12, Nº4, p.43;;Textual;Original;1;Impresso;3;21,00 x 28,00 cm;Papel Acidificado/Amarelado, Manchado, rasgado;Doc. 29;;1;1;;;77
1;1;BRFM_AM_05_078;1;1;7;7;;6;Núcleo Bernardelli.;O Núcleo Bernardelli e a Interiorização da Arte Brasileira;;1905-06-05;;;Frederico Morais;Português;8 páginas;Rio de Janeiro, RJ;120;Nº5, p.45-52;;Textual;Original;1;Impresso;3;15,00 x 22,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 30;;1;1;;;78
1;1;BRFM_AM_05_079;1;1;7;7;;6;Artista plástico Alberto de Veiga Guignard.;Guignard: um documento-base;;1905-06-02;;;Frederico Morais;Português;15 páginas;Belo Horizonte, MG;125;Nº11, p.7-21;;Textual;Original;1;Impresso;3;15,00 x 21,00 cm;Papel Acidificado/Amarelado, Manchado;Doc. 31;;1;1;;;79
1;1;BRFM_AM_06_001;1;1;13;13;;65;Livro Brasilian Art IV.;;;1905-06-25;;;;Português;1 página;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 32.01;;2;2;;;1
1;1;BRFM_AM_06_002;1;1;13;13;;13;Capa do livro Brasilian Art IV. Em anexo sumário da obra e cópia de carta de Nair Barbosa Lima a Frederico Morais.;;;1905-06-25;;;;Português;3 páginas;São Paulo, SP;;;;Textual, Iconográfico;Cópia;1;Impresso;3;"21,00 x 29,5,00 cm; 32cm";Bom;Doc. 32.02;;2;2;;;2
1;1;BRFM_AM_06_003;1;1;13;13;;48;Ensaio relacionado ao livro Brasilian Art IV.;Arte: O Ouro em Minas;;;;;Frederico Morais;Português;9 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 32.03;;2;2;;;3
1;1;BRFM_AM_06_004;1;1;13;13;;65;Lista de sugestões de ilustrações para livro acompanhada de lista de legendas.;;;;;;Frederico Morais;Português;3 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 32.04;;2;2;;;4
1;1;BRFM_AM_06_005;1;1;13;13;;126;Ensaio relacionado ao livro Brasilian Art IV.;Arte em Minas: Roteiro;;;;;Frederico Morais;Português;15 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 32.05;;2;2;;;5
1;1;BRFM_AM_07_001;1;1;14;14;;13;"Livro ""O Brasil na Visão do Artista: O País e sua Cultura"".";O Brasil na Visão do Artista - O País e sua Cultura;;;;;Frederico Morais;Português;1 página;;;;;Textual;Cópia;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 33.01;;2;2;;;1
1;1;BRFM_AM_07_002;1;1;14;14;;99;"Roteiro referente ao livro ""O Artista Brasileiro e a Cultura"". Em anexo reprodução de obras e exemplar de roteiro enviado a Célia de Assis da Editora Prêmio Editorial.";;;;;;Frederico Morais;Português;17 páginas;;;;;Textual, Iconográfico;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 33.02;;2;2;;;2
1;1;BRFM_AM_07_003;1;1;14;14;;96;"Livro ""O Brasil na Visão do Artista: A Natureza e as Artes Plásticas"".";Frederico Morais;;2002-11-12;;;André Seffrin;Português;1 página;Rio de Janeiro, RJ;98;;;Textual;Cópia;1;Impresso;3;31,00 x 30,00 cm;Manchado, Oxidado, Dobrado;Doc. 33.03;;2;2;;;3
1;1;BRFM_AM_07_004;1;1;14;14;;13;"Livro ""O Brasil na Visão do Artista: O País e sua Gente"". Em anexo tópicos principais da obra e carta de Célia de Assis da Editora Prêmio Editorial.";;;2002-10-11;;;Frederico Morais;Português;3 páginas;;;;;Textual, Iconográfico;Cópia;1;Impresso;#N/D;"21,00 x 29,5,00 cm; 21,00 x 33,5,00 cm";Oxidado;Doc. 34.01;;2;2;;;4
1;1;BRFM_AM_07_005;1;1;14;14;;37;"Textos sobre o livro ""O Brasil na Visão do Artista - O País e sua Gente"".";Relatório da Assessoria de Imprensa e Divulgação - Clipping Impresso;;1905-06-24;;;;Português;16 páginas;;;;;Textual;Cópia;1;Impresso;3;"21,00 x 29,5,00 cm; 21,00 x 31,5,00 cm";Oxidado;Doc. 34.02;;2;2;;;5
1;1;BRFM_AM_07_006;1;1;14;14;;99;"Roteiro referente à série de livros ""O Brasil na Visão do Artista"".";Gente brasileira;;;;;Frederico Morais;Português;26 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 34.03;;2;2;;;6
1;1;BRFM_AM_07_007;1;1;14;14;;40;"Lançamento do livro ""O Brasil na Visão do Artista: A Natureza e as Artes Plásticas"", realizado no Espaço Cultural Sudameris. Em anexo cópia de capa e folha de identificação de documentos.";O Brasil na Visão do Artista: A Natureza e as Artes Plásticas;;2001-12-05;;;Frederico Morais;Português;4 páginas;São Paulo, SP;;;;Textual;Original;1;Impresso;3;"20,00 x 28,00 cm; 21,00 x 29,5,00 cm";Bom;Doc. 35.01;;2;2;;;7
1;1;BRFM_AM_07_008;1;1;14;14;;99;"Roteiro referente à série de livros ""O Brasil na Visão do Artista"".";Arte e natureza no Brasil;;2001-01-30;;;Frederico Morais;Português;7 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 35.02;;2;2;;;8
1;1;BRFM_AM_07_009;1;1;14;14;;80;"Referente à série de livros ""O Brasil na Visão do Artista"".";Os artistas e a cultura brasileira: notas;;;;;Frederico Morais;Português;78 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc.36.01;;2;2;;;9
1;1;BRFM_AM_07_010;1;1;14;14;;80;"Referente à série de livros ""O Brasil na Visão do Artista"".";"Arte dos loucos; Cultura de Massa";;;;;Frederico Morais;Português;8 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc.36.02;;2;2;;;10
1;1;BRFM_AM_07_011;1;1;14;14;;14;"Referente à série de livros ""O Brasil na Visão do Artista"".";;;1905-06-24;;;;Português;4 páginas;;;;;Textual;Cópia;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc.36.03;;2;2;;;11
1;1;BRFM_AM_08_001;1;1;15;15;;65;"Referente ao livro ""Marilia Kranz"". Em anexo cópia de capa e convite para p lançamento do livro realizado no Museu de Arte Moderna do Rio de Janeiro - MAM/RJ.";Marilia Kranz;;1905-06-29;;;Frederico Morais;Português;3 páginas;Rio de Janeiro, RJ;;;;Textual;"Original; cópia";1;Impresso;3;"21,00 x 29,5,00 cm; 21,00 x 11,5,00 cm";Bom;Doc. 37.01;;2;2;;;1
1;1;BRFM_AM_08_002;1;1;15;15;;126;Exposição da artista plástica Marilia Kranz. Em anexo cronologia com vida e obra da artista.;Marilia Kranz 1968-1974: relevos e esculturas;;;;;Frederico Morais;Português;2 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 37.02;;2;2;;;2
1;1;BRFM_AM_08_003;1;1;15;15;;96;Lançamento de livro e abertura de exposição da artista plástica Marilia Kranz.;A obra no topo da estante de Marilia Kranz;;2007-12-03;;;Suzana Velasco;Português;1 página;Rio de Janeiro, RJ;9;;;Textual;Original;1;Impresso;1;31,00 x 27,5,00 cm;Papel Acidificado/Amarelado, Manchado, Dobrado;Doc. 37.03;;2;2;;;3
1;1;BRFM_AM_09_001;1;1;16;16;;13;"Livro ""Frederico Morais"" que integra a Coleção Pensamento Crítico. Em anexo folha com informações sobre a obra. ";Frederico Morais;;1905-06-26;;;;Português;2 páginas;;;;;Textual, Iconográfico;Cópia;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 38;;2;2;;;1
1;1;BRFM_AM_10_001;1;1;17;17;;13;"Referente à série de livros ""João Câmara - Trilogia"". Em anexo folha com informações sobre os livros e carta a João Câmara.";João Câmara - Trilogia;;1905-06-25;;;Frederico Morais;Português;4 páginas;Rio de Janeiro, RJ;;;;Textual, Iconográfico;Cópia;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 39;;2;2;;;1
1;1;BRFM_AM_10_002;1;1;17;17;;99;Sobre a obra do artista plástico João Câmara.;Roteiro Crítico;;;;;Frederico Morais;Português;5 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 40.02;;2;2;;;2
1;1;BRFM_AM_10_003;1;1;17;17;;6;"Sobre a série ""Cenas da Vida Brasileira"", do artista plástico João Cãmara.";"""Cenas da Vida Brasileira"", 1974/1980";;;;;Frederico Morais;Português;12 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Manchado, Oxidado ;Doc. 40.03;;2;2;;;3
1;1;BRFM_AM_10_004;1;1;17;17;;6;"Sobre a série ""Cenas da Vida Brasileira"", do artista plástico João Cãmara.";Posfácio 2003: flashbacks;;;;;Frederico Morais;Português;6 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 40.04;;2;2;;;4
1;1;BRFM_AM_10_005;1;1;17;17;;6;"Sobre o livro ""João Câmara - Trilogia: Dez Casos de Amor"". Em anexo capa do livro.";Dez Casos de Amor e Uma Pintura de Câmara: Teoria e Corpo do Pintor Secreto;;;-/05/1983;;Frederico Morais;Português;24 páginas;Rio de Janeiro, RJ;;;;Textual;"Original; cópia";1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 41.01;;2;2;;;5
1;1;BRFM_AM_10_006;1;1;17;17;;6;"Sobre o livro ""João Câmara - Trilogia: Dez Casos de Amor"". Em anexo capa do livro.";Dez Casos de Amor e Uma Pintura de Câmara: Teoria e Corpo do Pintor Secreto;;;-/05/1983;;Frederico Morais;Português;25 páginas;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Manchado, Oxidado ;Doc. 41.02;;2;2;;;6
1;1;BRFM_AM_10_007;1;1;17;17;;14;"Informações financeiras referentes ao livro ""Duas Cidades"", terceiro volume da série ""João Câmara - Trilogia"". Em anexo dois recibos.";;;2003-11-26;;;Thais G.G. Mezzarano;Português;4 páginas;São Paulo, SP;;;;Textual;Original;1;Impresso;#N/D;"21,00 x 33,00 cm; 21,00 x 29,5,00 cm";Bom;Doc. 42;;2;2;;;7
1;1;BRFM_AM_11_001;1;1;18;18;;13;Livro Wanda Pimentel. Em anexo folha de identificação de documentos.;Wanda Pimentel;;1905-07-04;;;;Português;2 páginas;;;;;Textual, Iconográfico;"Original; cópia";1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 43.01;;2;2;;;1
1;1;BRFM_AM_11_002;1;1;18;18;;65;Lista de temas relacionada à artista plástica Wanda Pimentel.;;;;;;Frederico Morais;Português;1 página;;;;;Textual;Original;1;Manuscrito;3;15,00 x 21,00 cm;Bom;Doc. 43.02;;2;2;;;2
1;1;BRFM_AM_11_003;1;1;18;18;;96;Lançamento de livro sobre a artista plática Wanda Pimentel contendo texto e entrevista do historiador e crítico de arte Frederico Morais.;Memória Feita de Silêncios;;;;;Mauro Ventura;Português;1 página;Rio de Janeiro, RJ;9;;;Textual;Original;1;Impresso;1;24,5,00 x 37,00 cm;Dobrado;Doc. 43.03;;2;2;;;3
1;1;BRFM_AM_11_004;1;1;18;18;;37;Textos sobre a artista plástica Wanda Pimentel.;;;;;;;Português;15 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 43.04;;2;2;;;4
1;1;BRFM_AM_11_005;1;1;18;18;;14;"Informações financeiras referentes ao livro ""Wanda Pimentel"".";;;2012-01-18;;;Thatiana Fernandes;Português;1 página;Rio de Janeiro, RJ;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 43.05;;2;2;;;5
1;1;BRFM_AM_11_006;1;1;18;18;;6;Artista plástica Wanda Pimentel.;O canto de Wanda Pimentel;;2012-03-26;;;Vera Beatriz Siqueira;Português;9 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Oxidado;Doc. 43.06;;2;2;;;6
1;1;BRFM_AM_11_007;1;1;18;18;;49;Entrevista com a artista plástica Wanda Pimentel.;;;2012-05-03;;;Frederico Morais;Português;4 páginas;;;;;Textual;Original;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 43.07;;2;2;;;7
1;1;BRFM_AM_11_008;1;1;18;18;;45;Depoimento da artista plástica Wanda Pimentel concedida à equipe da Galeria de Arte BANERJ.;Nunca trabalhei com alegria;;1986-05-05;;;;Português;2 páginas;;;;;Textual;Cópia;1;Impresso;3;29,5,00 x 21,00 cm;Oxidado;Doc. 43.08;;2;2;;;8
1;1;BRFM_AM_11_009;1;1;18;18;;37;Textos sobre a artista plástica Wanda Pimentel.;;;;;;Frederico Morais;Português;14 páginas;;;;;Textual;Cópia;1;Impresso;3;"21,00 x 29,5,00 cm; 21,00 x 33,00 cm";Manchado, Oxidado;Doc. 44;;2;2;;;9
1;1;BRFM_AM_12_001;1;1;19;19;;65;Lista de temas relacionada à artista plástica Wilma Martins. Em anexo cópia de capa de livro e de convite.;Wilma Martins;;;;;Frederico Morais;Português;5 páginas;;;;;Textual, Iconográfico;"Original; cópia";1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 45.01;;2;2;;;1
1;1;BRFM_AM_12_002;1;1;19;19;;65;Lista de temas relacionada à artista plástica Wilma Martins. Em anexo cópia de capa de livro, de convite e de página de publicação.;Caderno de Viagem e Cotidiano;;;;;"Frederico Morais; Wilma Martins";Português;4 páginas;;;;;Textual, Iconográfico;"Original; cópia";1;"Manuscrito; Impresso";3;"15,00 x 21,00 cm; 29,5,00 x 21,00 cm";Bom;Doc. 45.02;;2;2;;;2
1;1;BRFM_AM_12_003;1;1;19;19;;98;"Cópia de trecho da revista ""Serrote"", organizada pelo Instituto Moreira Salles - IMS, com texto e reprodução de obras da artista plástica Wilma Martins. Em anexo carta de Carla Brandão da IMS e contrato de licenciamento.";;;;;;;Português;26 páginas;;;;;Textual, Iconográfico;"Original; cópia";1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 45.03;;2;2;;;3
1;1;BRFM_AM_12_004;1;1;19;19;;96;"Lançamento de livros das artistas plásticas Wilma Martins e Rosângela Rennó. Em anexo página do jornal ""O Globo"" com reprodução de obra de Wilma Martins.";Sob Olhar Feminino;;;;;Luiza Gould;Português;2 páginas;;;;;Textual, Iconográfico;Original;1;Impresso;1;"16,5,00 x 28,5,00 cm; 31,5,00 x 55,00 cm";Papel Acidificado/Amarelado, Dobrado;Doc. 45.04;;2;2;;;4
1;1;BRFM_AM_12_005;1;1;19;19;;58;Textos sobre a artista plástica Wilma Martins.;;;;;;;Português;10 páginas;;;;;Textual;"Original; cópia";1;Impresso;#N/D;"21,00 x 29,5; 11,00 x 56,00 cm";Papel Acidificado/Amarelado, Dobrado;Doc. 45.05;;2;2;;;5
1;1;BRFM_AM_12_006;1;1;19;19;;37;Textos retirados da internet sobre a artista plástica Wilma Martins. Em anexo lista de links com reportagens sobre a artista.;;;;;;;Português;7 páginas;;;;;Textual;Cópia;1;Impresso;3;21,00 x 29,5,00 cm;Bom;Doc. 45.06;;2;2;;;6
1;1;BRFM_AM_12_007;1;1;19;19;;14;"Cartas de agradecimento por recebimento do livro ""Wilma Martins"".";;;;22/03/2016-17/11/2017;;;Português;9 páginas;;;;;Textual;"Original; cópia";1;Impresso;3;"15,5,00 x 12; 21,00 x 29,5,00 cm";Bom;Doc. 45.07;;2;2;;;7
1;1;BRFM_AM_12_008;1;1;19;19;;68;Lista de obras da artista plástica Wilma Martins.;;;;;;;Português;32 páginas;;;;;Textual;Original;1;Impresso;3;29,5,00 x 21,00 cm;Oxidado;Doc. 45.08;;2;2;;;8
